Facility_ID,Installation_ID,Facility_Name,Designation,Unit,Facility_Type,Operating_Model,Program_Type,Contract_Type,Primary_PV,POS_Terminals_Raw,POC_Display_Name,In_R1_Scope,Source_Row,Source_System,Facility_DODAAC,Contract_ID,Active_Flag
TINKER_AFB|VANWEY,TINKER_AFB,Vanwey,,72 FSS,,Legacy/APF,Food 2.0 - In Development,Full Food Service,US Foods,Vanwey 3 (inop),TSgt Aqueriya Stroud,TRUE,193,Mission Feeding QRG,,,TRUE
TRAVIS_AFB|SIERRA_INN_DFAC,TRAVIS_AFB,Sierra Inn DFAC,,60 FSS,,Food 2.0,Food 2.0 - AB1,Aramark,US Foods,,Mr. Randy Spaulding,FALSE,194,Mission Feeding QRG,,,TRUE
TRAVIS_AFB|KNUCKLBUSTER,TRAVIS_AFB,Knucklbuster,,60 FSS,,Food 2.0,Food 2.0 - AB1,Aramark,US Foods,,Mr. Randy Spaulding,FALSE,196,Mission Feeding QRG,,,TRUE
TYNDALL_AFB|BERG_LILES,TYNDALL_AFB,Berg Liles,,325 FSS,,Legacy/APF,Legacy - SB,Mess Attendant,Sysco,Berg-Liles – 2,MSgt Chermara Walley,TRUE,198,Mission Feeding QRG,,,TRUE
TYNDALL_AFB|RAPTOR_QUICK_TURN,TYNDALL_AFB,Raptor Quick Turn,,325 FSS,,Legacy/APF,Legacy - SB,Mess Attendant,Sysco,,MSgt Chermara Walley,TRUE,200,Mission Feeding QRG,,,TRUE
TYNDALL_AFB|SILVER_FLAG,TYNDALL_AFB,Silver Flag,SILVER FLAG,325 FSS,,Legacy/APF,Legacy - SB,Mess Attendant,Sysco,Silver Flag – N/A,MSgt Chermara Walley,TRUE,202,Mission Feeding QRG,,,TRUE
USAF_ACADEMY|HIGH_COUNTRY_INN,USAF_ACADEMY,High Country Inn,,10 FSS,,Legacy/APF,Legacy - RSA,Full Food Service,Shamrock,High Country – 4,TSgt Emilee Hinson,TRUE,204,Mission Feeding QRG,,,TRUE
VANDENBERG|BEACHCOMBERS_DFAC,VANDENBERG,Beachcombers DFAC,,30 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,,Mr. Randy Spaulding,FALSE,205,Mission Feeding QRG,,,TRUE
VANDENBERG|BREAKERS_DFAC,VANDENBERG,Breakers DFAC,,30 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,,Mr. Randy Spaulding,FALSE,207,Mission Feeding QRG,,,TRUE
VOLKEL_AB|EAGLE_S_PERCH,VOLKEL_AB,Eagle's Perch,,86 FSS,,Legacy/APF,Legacy - LN - No ESM - No Dorms,Local National Support,TWI,3,MSgt Chermara Walley,TRUE,209,Mission Feeding QRG,,,TRUE
WHITEMAN_AFB|OZARK_INN,WHITEMAN_AFB,Ozark Inn,,509 FSS,,Legacy/APF,Legacy - SB,Mess Attendant,US Foods,DFAC – 3 FK-1,TSgt Marc Miller-Nelson,TRUE,210,Mission Feeding QRG,,,TRUE
