Issue_ID,Issue_Type,Source_Row,Installation,Facility,Detail
DQ-0018,Exact duplicate row,57,HURLBURT FIELD,Riptide,Byte-identical to an earlier row. Excluded from the registry.
DQ-0019,Exact duplicate row,59,INCIRLIK AB,Sultan's Inn,Byte-identical to an earlier row. Excluded from the registry.
DQ-0020,Exact duplicate row,60,INCIRLIK AB,Sultan's Inn,Byte-identical to an earlier row. Excluded from the registry.
DQ-0021,Exact duplicate row,67,JBSA LACKLAND,Live Oak,Byte-identical to an earlier row. Excluded from the registry.
DQ-0022,Exact duplicate row,68,JBSA LACKLAND,Amigo,Byte-identical to an earlier row. Excluded from the registry.
DQ-0023,Exact duplicate row,69,JBSA LACKLAND,SWT,Byte-identical to an earlier row. Excluded from the registry.
DQ-0024,Exact duplicate row,70,JBSA LACKLAND,Chapman,Byte-identical to an earlier row. Excluded from the registry.
DQ-0025,Exact duplicate row,71,JBSA LACKLAND,Defender,Byte-identical to an earlier row. Excluded from the registry.
DQ-0026,Exact duplicate row,72,JBSA LACKLAND,Flight Kitchen (FK),Byte-identical to an earlier row. Excluded from the registry.
DQ-0027,Exact duplicate row,77,KEESLER AFB,Azalea,Byte-identical to an earlier row. Excluded from the registry.
DQ-0028,Exact duplicate row,78,KEESLER AFB,Azalea,Byte-identical to an earlier row. Excluded from the registry.
